timestamp,latency_1,latency_2,latency_3
2024-06-07 00:00:00,7.0,12.2,8.5
2024-06-07 00:10:00,7.0,12.2,8.5
2024-06-07 00:20:00,7.0,12.2,8.5
2024-06-07 00:30:00,7.1000000000000005,12.2,8.5
2024-06-07 00:40:00,7.0,12.2,8.5
2024-06-07 00:50:00,7.0,12.2,8.5
2024-06-07 01:00:00,7.1000000000000005,12.2,8.5
2024-06-07 01:10:00,7.0,12.2,8.5
2024-06-07 01:20:00,7.0,12.2,8.5
2024-06-07 01:30:00,7.0,12.2,8.5
2024-06-07 01:40:00,7.1000000000000005,12.2,8.5
2024-06-07 01:50:00,7.1000000000000005,12.2,8.5
2024-06-07 02:00:00,7.0,12.2,8.5
2024-06-07 02:10:00,7.0,12.2,8.5
2024-06-07 02:20:00,7.0,12.2,8.5
2024-06-07 02:30:00,7.0,12.2,8.5
2024-06-07 02:40:00,7.0,12.2,8.5
2024-06-07 02:50:00,7.0,12.2,8.5
2024-06-07 03:00:00,7.0,12.2,8.5
2024-06-07 03:10:00,7.0,12.2,8.5
2024-06-07 03:20:00,7.1000000000000005,12.2,8.5
2024-06-07 03:30:00,7.1000000000000005,12.2,8.5
2024-06-07 03:40:00,15.2,12.2,8.5
2024-06-07 03:50:00,7.1000000000000005,12.2,8.5
2024-06-07 04:00:00,7.1000000000000005,12.2,8.5
2024-06-07 04:10:00,7.1000000000000005,12.2,8.5
2024-06-07 04:20:00,7.1000000000000005,12.2,8.5
2024-06-07 04:30:00,7.0,12.2,8.5
2024-06-07 04:40:00,7.1000000000000005,12.2,8.5
2024-06-07 04:50:00,7.1000000000000005,12.2,8.5
2024-06-07 05:00:00,7.0,12.2,8.5
2024-06-07 05:10:00,7.0,12.2,8.5
2024-06-07 05:20:00,7.0,12.2,8.5
2024-06-07 05:30:00,7.0,12.2,8.5
2024-06-07 05:40:00,7.1000000000000005,12.2,8.5
2024-06-07 05:50:00,7.0,12.2,8.5
2024-06-07 06:00:00,7.0,12.2,8.5
2024-06-07 06:10:00,31.2,12.2,8.5
2024-06-07 06:20:00,7.1000000000000005,12.2,8.5
2024-06-07 06:30:00,7.1000000000000005,12.2,8.5
2024-06-07 06:40:00,7.1000000000000005,12.2,8.5
2024-06-07 06:50:00,12.7,12.2,8.5
2024-06-07 07:00:00,7.1000000000000005,12.2,8.5
2024-06-07 07:10:00,7.1000000000000005,12.2,8.5
2024-06-07 07:20:00,7.0,12.2,8.5
2024-06-07 07:30:00,7.0,12.2,8.5
2024-06-07 07:40:00,7.1000000000000005,12.2,8.5
2024-06-07 07:50:00,7.0,12.2,8.5
2024-06-07 08:00:00,7.1000000000000005,12.2,8.5
2024-06-07 08:10:00,7.0,12.2,8.5
2024-06-07 08:20:00,7.0,12.2,8.5
2024-06-07 08:30:00,7.1000000000000005,12.2,8.5
2024-06-07 08:40:00,7.1000000000000005,12.2,8.5
2024-06-07 08:50:00,7.0,12.2,8.5
2024-06-07 09:00:00,7.0,12.2,8.5
2024-06-07 09:10:00,7.0,12.2,8.5
2024-06-07 09:20:00,7.1000000000000005,12.2,8.5
2024-06-07 09:30:00,7.1000000000000005,12.2,8.5
2024-06-07 09:40:00,7.1000000000000005,12.2,8.5
2024-06-07 09:50:00,7.0,12.2,8.5
2024-06-07 10:00:00,7.0,12.2,8.5
2024-06-07 10:10:00,7.1000000000000005,12.2,8.5
2024-06-07 10:20:00,7.0,12.2,8.5
2024-06-07 10:30:00,7.0,12.2,8.5
2024-06-07 10:40:00,7.0,12.2,8.5
2024-06-07 10:50:00,7.0,12.2,8.5
2024-06-07 11:00:00,7.0,12.2,8.5
2024-06-07 11:10:00,7.0,12.2,8.5
2024-06-07 11:20:00,7.3,12.2,8.5
2024-06-07 11:30:00,7.0,12.2,8.5
2024-06-07 11:40:00,7.0,12.2,8.5
2024-06-07 11:50:00,7.0,12.2,8.5
2024-06-07 12:00:00,7.0,12.2,8.5
2024-06-07 12:10:00,12.3,12.2,8.5
2024-06-07 12:20:00,7.0,12.2,8.5
2024-06-07 12:30:00,7.0,12.2,8.5
2024-06-07 12:40:00,7.0,12.2,8.5
2024-06-07 12:50:00,7.0,12.2,8.5
2024-06-07 13:00:00,7.0,12.2,8.5
2024-06-07 13:10:00,7.0,12.2,8.5
2024-06-07 13:20:00,7.0,12.2,8.5
2024-06-07 13:30:00,7.0,12.2,8.5
2024-06-07 13:40:00,7.0,12.2,8.5
2024-06-07 13:50:00,7.0,12.2,8.5
2024-06-07 14:00:00,7.0,12.2,8.5
2024-06-07 14:10:00,7.0,12.2,8.5
2024-06-07 14:20:00,7.0,12.2,8.5
2024-06-07 14:30:00,10.5,12.2,8.5
2024-06-07 14:40:00,13.3,12.2,8.5
2024-06-07 14:50:00,7.6,12.2,8.5
2024-06-07 15:00:00,7.1000000000000005,12.2,8.5
